KODJAZ,TYPVAZ,AKRCIS1,KODCIS1,CHODNOTA1,TEXT1,AKRCIS2,KODCIS2,CHODNOTA2,TEXT2
"CS","Hierarchie číselníků","CISOB",43,"500011","Želechovice nad Dřevnicí","OKRES_LAU",109,"CZ0724","Zlín"
"CS","Hierarchie číselníků","CISOB",43,"500020","Petrov nad Desnou","OKRES_LAU",109,"CZ0715","Šumperk"
"CS","Hierarchie číselníků","CISOB",43,"500046","Libhošť","OKRES_LAU",109,"CZ0804","Nový Jičín"
"CS","Hierarchie číselníků","CISOB",43,"500062","Krhová","OKRES_LAU",109,"CZ0723","Vsetín"
"CS","Hierarchie číselníků","CISOB",43,"500071","Poličná","OKRES_LAU",109,"CZ0723","Vsetín"
"CS","Hierarchie číselníků","CISOB",43,"500101","Bražec","OKRES_LAU",109,"CZ0412","Karlovy Vary"
"CS","Hierarchie číselníků","CISOB",43,"500127","Doupovské Hradiště","OKRES_LAU",109,"CZ0412","Karlovy Vary"
"CS","Hierarchie číselníků","CISOB",43,"500135","Kozlov","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"500151","Luboměř pod Strážnou","OKRES_LAU",109,"CZ0714","Přerov"
"CS","Hierarchie číselníků","CISOB",43,"500160","Město Libavá","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"500194","Polná na Šumavě","OKRES_LAU",109,"CZ0312","Český Krumlov"
"CS","Hierarchie číselníků","CISOB",43,"500259","Veřovice","OKRES_LAU",109,"CZ0804","Nový Jičín"
"CS","Hierarchie číselníků","CISOB",43,"500291","Vřesina","OKRES_LAU",109,"CZ0806","Ostrava-město"
"CS","Hierarchie číselníků","CISOB",43,"500496","Olomouc","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"500526","Bělkovice-Lašťany","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"500623","Bílá Lhota","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"500801","Blatec","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"500852","Bohuňovice","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"500861","Bouzov","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"500879","Bystročice","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"501476","Dlouhá Loučka","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"501646","Dolany","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"501751","Drahanovice","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"501794","Dub nad Moravou","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"501841","Grygov","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"502146","Hlubočky","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"502235","Hněvotín","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"502405","Hnojice","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"502545","Horka nad Moravou","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"502839","Cholina","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"503142","Jívová","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"503304","Kožušany-Tážaly","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"503410","Žitovlice","OKRES_LAU",109,"CZ0208","Nymburk"
"CS","Hierarchie číselníků","CISOB",43,"503444","Litovel","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"503622","Luká","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"503657","Lutín","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"503738","Majetín","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"503916","Kostelec","OKRES_LAU",109,"CZ0327","Tachov"
"CS","Hierarchie číselníků","CISOB",43,"503941","Libavá","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"504246","Mladeč","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"504301","Dřenice","OKRES_LAU",109,"CZ0531","Chrudim"
"CS","Hierarchie číselníků","CISOB",43,"504441","Náklo","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"504505","Náměšť na Hané","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"504785","Paseka","OKRES_LAU",109,"CZ0712","Olomouc"
"CS","Hierarchie číselníků","CISOB",43,"504807","Lány","OKRES_LAU",109,"CZ0531","Chrudim"
"CS","Hierarchie číselníků","CISOB",43,"504921","Třibřichy","OKRES_LAU",109,"CZ0531","Chrudim"
