nuts_okres,lau_obec,nazev_obec,obyvatele,muzi,zeny,avg_vek,avg_vek_muzi,avg_vek_zeny
CZ0100,554782,Praha,1280508,621565,658943,42.0,40.5,43.4
CZ0201,529303,Benešov,16544,7895,8649,42.2,40.7,43.7
CZ0201,532568,Bernartice,219,109,110,46.2,48.1,44.3
CZ0201,530743,Bílkovice,208,103,105,43.6,42.6,44.5
CZ0201,532380,Blažejovice,111,53,58,45.4,41.6,48.8
CZ0201,532096,Borovnice,78,38,40,47.4,49.4,45.6
CZ0201,532924,Bukovany,779,388,391,39.4,39.7,39.2
CZ0201,529451,Bystřice,4339,2166,2173,41.2,40.3,42.2
CZ0201,532690,Ctiboř,129,67,62,38.3,37.9,38.7
CZ0201,529478,Čakov,126,63,63,38.4,37.5,39.3
CZ0201,529486,Čechtice,1373,669,704,42.5,41.3,43.6
CZ0201,529516,Čerčany,2812,1423,1389,41.4,40.5,42.4
CZ0201,529532,Červený Újezd,327,164,163,41.6,40.5,42.7
CZ0201,529541,Český Šternberk,153,73,80,44.7,43.9,45.4
CZ0201,529567,Čtyřkoly,683,323,360,39.5,39.3,39.6
CZ0201,532746,Děkanovice,62,32,30,45.0,42.8,47.4
CZ0201,529621,Divišov,1658,836,822,40.7,39.0,42.4
CZ0201,529648,Dolní Kralovice,889,449,440,43.5,41.5,45.6
CZ0201,532151,Drahňovice,101,55,46,35.5,29.9,42.3
CZ0201,532843,Dunice,65,33,32,46.0,39.9,52.3
CZ0201,529702,Heřmaničky,729,364,365,42.1,40.8,43.4
CZ0201,532932,Hradiště,28,17,11,51.2,49.5,53.8
CZ0201,529737,Hulice,287,143,144,43.5,44.7,42.3
CZ0201,529745,Hvězdonice,312,156,156,43.6,43.0,44.2
CZ0201,532886,Chářovice,206,105,101,36.5,35.6,37.5
CZ0201,532878,Chleby,55,31,24,48.3,47.0,49.9
CZ0201,532045,Chlístov,343,174,169,40.4,39.0,41.8
CZ0201,529770,Chlum,135,74,61,44.4,44.8,44.1
CZ0201,529788,Chmelná,145,81,64,38.3,36.2,41.0
CZ0201,529796,Chocerady,1241,612,629,40.9,40.1,41.7
CZ0201,532606,Choratice,69,35,34,44.0,40.5,47.5
CZ0201,529818,Chotýšany,555,276,279,38.9,38.6,39.3
CZ0201,532037,Chrášťany,240,118,122,41.2,40.7,41.7
CZ0201,529842,Jankov,925,419,506,42.9,41.4,44.1
CZ0201,529851,Javorník,118,62,56,46.5,47.8,45.0
