nuts_okres,nazev_okres,obyvatele,muzi,zeny,avg_vek,avg_vek_muzi,avg_vek_zeny
CZ0201,Benešov,97452,48161,49291,42.1,40.8,43.3
CZ0202,Beroun,91230,44987,46243,41.1,39.9,42.3
CZ0203,Kladno,163108,79828,83280,41.6,40.2,42.9
CZ0204,Kolín,99610,49257,50353,41.7,40.3,43.2
CZ0205,Kutná Hora,74697,36945,37752,42.8,41.4,44.2
CZ0206,Mělník,106516,52647,53869,41.2,39.8,42.5
CZ0207,Mladá Boleslav,126825,63685,63140,41.3,40.1,42.5
CZ0208,Nymburk,97894,47996,49898,41.0,39.8,42.3
CZ0209,Praha-východ,171914,84787,87127,38.5,37.6,39.4
CZ020A,Praha-západ,140208,68742,71466,38.8,37.9,39.6
CZ020B,Příbram,114219,56390,57829,42.4,41.0,43.8
CZ020C,Rakovník,55309,27494,27815,42.3,41.0,43.7
CZ0311,České Budějovice,191945,93830,98115,41.7,40.4,43.0
CZ0312,Český Krumlov,61155,30773,30382,41.0,40.0,42.1
CZ0313,Jindřichův Hradec,91125,44896,46229,42.8,41.5,44.1
CZ0314,Písek,70870,34902,35968,43.2,41.7,44.6
CZ0315,Prachatice,50695,25406,25289,41.9,40.7,43.2
CZ0316,Strakonice,70697,34996,35701,42.6,41.2,44.0
CZ0317,Tábor,102295,50310,51985,43.0,41.6,44.3
CZ0321,Domažlice,61405,30576,30829,42.0,40.9,43.0
CZ0322,Klatovy,86452,42809,43643,43.2,41.9,44.5
CZ0323,Plzeň-město,189131,92160,96971,42.9,41.5,44.3
CZ0324,Plzeň-jih,62445,31559,30886,42.5,41.4,43.6
CZ0325,Plzeň-sever,78007,39000,39007,41.5,40.6,42.5
CZ0326,Rokycany,48184,23999,24185,42.6,41.4,43.9
CZ0327,Tachov,53005,26564,26441,41.3,40.3,42.3
CZ0411,Cheb,91837,45166,46671,42.2,40.7,43.6
CZ0412,Karlovy Vary,115785,56902,58883,43.2,41.8,44.5
CZ0413,Sokolov,89127,44419,44708,41.7,40.4,43.0
CZ0421,Děčín,130787,64806,65981,41.9,40.5,43.2
CZ0422,Chomutov,124249,61828,62421,41.2,39.9,42.4
CZ0423,Litoměřice,119342,59296,60046,41.9,40.5,43.3
CZ0424,Louny,86346,42737,43609,41.5,40.3,42.8
CZ0425,Most,112881,56148,56733,41.7,40.3,43.0
CZ0426,Teplice,128476,64122,64354,41.7,40.3,43.2
CZ0427,Ústí nad Labem,119296,58435,60861,41.5,40.1,42.8
CZ0511,Česká Lípa,102975,50741,52234,41.2,39.9,42.5
CZ0512,Jablonec nad Nisou,90134,43998,46136,42.1,40.6,43.7
CZ0513,Liberec,173382,85027,88355,41.4,40.0,42.8
CZ0514,Semily,74145,36790,37355,42.9,41.4,44.4
CZ0521,Hradec Králové,163269,79582,83687,43.0,41.4,44.5
CZ0522,Jičín,79493,39462,40031,42.7,41.2,44.2
CZ0523,Náchod,110518,54351,56167,42.7,41.1,44.2
CZ0524,Rychnov nad Kněžnou,78772,39006,39766,42.2,40.8,43.5
CZ0525,Trutnov,118752,58580,60172,42.7,41.2,44.2
CZ0531,Chrudim,104035,51568,52467,42.3,40.8,43.8
CZ0532,Pardubice,170848,84233,86615,42.3,40.8,43.7
CZ0533,Svitavy,104166,51511,52655,42.0,40.6,43.4
CZ0534,Ústí nad Orlicí,138038,68379,69659,41.8,40.4,43.2
CZ0631,Havlíčkův Brod,94579,46977,47602,42.7,41.3,44.0
CZ0632,Jihlava,112649,55784,56865,41.8,40.4,43.2
CZ0633,Pelhřimov,71977,35789,36188,43.3,41.9,44.7
CZ0634,Třebíč,111651,55329,56322,42.5,41.2,43.8
CZ0635,Žďár nad Sázavou,118096,58816,59280,41.9,40.5,43.3
CZ0641,Blansko,108248,53329,54919,42.2,40.7,43.6
CZ0642,Brno-město,377973,182549,195424,42.8,41.0,44.4
CZ0643,Brno-venkov,217720,107576,110144,40.8,39.6,42.1
CZ0644,Břeclav,115432,56687,58745,42.3,40.7,43.8
CZ0645,Hodonín,154589,76250,78339,42.9,41.2,44.5
CZ0646,Vyškov,91133,45109,46024,41.6,40.3,43.0
CZ0647,Znojmo,113717,56223,57494,41.9,40.5,43.3
CZ0711,Jeseník,38957,19323,19634,43.1,41.6,44.5
CZ0712,Olomouc,233992,113874,120118,41.9,40.4,43.4
CZ0713,Prostějov,108757,53016,55741,42.5,40.9,44.0
CZ0714,Přerov,130931,64210,66721,42.8,41.2,44.4
CZ0715,Šumperk,121288,59576,61712,42.6,41.1,44.1
CZ0721,Kroměříž,106039,51807,54232,42.9,41.1,44.5
CZ0722,Uherské Hradiště,142554,69947,72607,42.9,41.2,44.5
CZ0723,Vsetín,143380,70504,72876,42.3,40.6,43.9
CZ0724,Zlín,191725,93597,98128,42.8,41.0,44.4
CZ0801,Bruntál,93080,46072,47008,42.5,41.0,44.0
CZ0802,Frýdek-Místek,213628,105269,108359,41.9,40.4,43.4
CZ0803,Karviná,251370,123481,127889,42.8,41.1,44.4
CZ0804,Nový Jičín,151737,74763,76974,41.6,40.2,43.0
CZ0805,Opava,176600,86555,90045,42.0,40.4,43.5
CZ0806,Ostrava-město,323464,156924,166540,42.4,40.6,44.0
