KODJAZ,TYPVAZ,AKRCIS1,KODCIS1,CHODNOTA1,TEXT1,AKRCIS2,KODCIS2,UROVEN2,CHODNOTA2,TEXT2
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZZZZZ","Extra-Regio","CZ-NUTS_KL",80038,4,"CZZZZ","Extra-Regio"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0100","Praha","CZ-NUTS_KL",80038,4,"CZ010","Hlavní město Praha"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ020A","Praha-západ","CZ-NUTS_KL",80038,4,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ020B","Příbram","CZ-NUTS_KL",80038,4,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ020C","Rakovník","CZ-NUTS_KL",80038,4,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0201","Benešov","CZ-NUTS_KL",80038,4,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0202","Beroun","CZ-NUTS_KL",80038,4,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0203","Kladno","CZ-NUTS_KL",80038,4,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0204","Kolín","CZ-NUTS_KL",80038,4,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0205","Kutná Hora","CZ-NUTS_KL",80038,4,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0206","Mělník","CZ-NUTS_KL",80038,4,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0207","Mladá Boleslav","CZ-NUTS_KL",80038,4,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0208","Nymburk","CZ-NUTS_KL",80038,4,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0209","Praha-východ","CZ-NUTS_KL",80038,4,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0311","České Budějovice","CZ-NUTS_KL",80038,4,"CZ031","Jihočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0312","Český Krumlov","CZ-NUTS_KL",80038,4,"CZ031","Jihočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0313","Jindřichův Hradec","CZ-NUTS_KL",80038,4,"CZ031","Jihočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0314","Písek","CZ-NUTS_KL",80038,4,"CZ031","Jihočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0315","Prachatice","CZ-NUTS_KL",80038,4,"CZ031","Jihočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0316","Strakonice","CZ-NUTS_KL",80038,4,"CZ031","Jihočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0317","Tábor","CZ-NUTS_KL",80038,4,"CZ031","Jihočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0321","Domažlice","CZ-NUTS_KL",80038,4,"CZ032","Plzeňský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0322","Klatovy","CZ-NUTS_KL",80038,4,"CZ032","Plzeňský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0323","Plzeň-město","CZ-NUTS_KL",80038,4,"CZ032","Plzeňský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0324","Plzeň-jih","CZ-NUTS_KL",80038,4,"CZ032","Plzeňský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0325","Plzeň-sever","CZ-NUTS_KL",80038,4,"CZ032","Plzeňský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0326","Rokycany","CZ-NUTS_KL",80038,4,"CZ032","Plzeňský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0327","Tachov","CZ-NUTS_KL",80038,4,"CZ032","Plzeňský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0411","Cheb","CZ-NUTS_KL",80038,4,"CZ041","Karlovarský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0412","Karlovy Vary","CZ-NUTS_KL",80038,4,"CZ041","Karlovarský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0413","Sokolov","CZ-NUTS_KL",80038,4,"CZ041","Karlovarský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0421","Děčín","CZ-NUTS_KL",80038,4,"CZ042","Ústecký kraj"
