Year;ID_Unit;ID_UnitType;RegistrationNumber;UnitName;Location;RegularMembersTo6;RegularMembersTo15;RegularMembersTo18;RegularMembersTo26;RegularMembersFrom26;RegularMembers;MembersTo6;MembersTo15;MembersTo18;MembersTo26;MembersFrom26;Members
2019;23200;ustredi;1;Ústøedí;Praha 1;1657;36572;5868;7056;13230;64383;1657;36572;5868;7056;13230;64383
2018;23200;ustredi;1;Ústøedí;Praha 1;1511;34049;5523;6837;12600;60520;1511;34049;5523;6837;12600;60520
2017;23200;ustredi;1;Ústøedí;Praha 1;1394;32667;5130;6587;12062;57840;1394;32667;5130;6587;12063;57841
2016;23200;ustredi;1;Ústøedí;Praha 1;1284;31466;4753;6550;11480;55533;1284;31466;4753;6550;11480;55533
2015;23200;ustredi;1;Ústøedí;Praha 1;1290;29757;4524;6510;10947;53028;1290;29757;4524;6512;10948;53031
2014;23200;ustredi;1;Ústøedí;Praha 1;1019;28185;4226;6640;10368;50438;1019;28185;4226;6640;10368;50438
2013;23200;ustredi;1;Ústøedí;Praha 1;862;26564;4077;6706;9893;48102;862;26565;4078;6719;9902;48126
2012;23200;ustredi;1;Ústøedí;Praha 1;747;25359;4190;6885;9510;46691;747;25366;4200;6911;9529;46753
2011;23200;ustredi;1;Ústøedí;Praha 1;616;24434;4382;6980;9176;45588;616;24443;4402;7024;9209;45694
2010;23200;ustredi;1;Ústøedí;Praha 1;612;24023;4669;7043;8910;45257;612;24029;4695;7114;8939;45389
2009;23200;ustredi;1;Ústøedí;Praha 1;540;23348;4982;7150;8617;44637;540;23348;4982;7150;8617;44637
2008;23200;ustredi;1;Ústøedí;Praha 1;452;23067;5358;7150;8522;44549;452;23067;5358;7151;8522;44550
2007;23200;ustredi;1;Ústøedí;Praha 1;432;23140;5635;7074;8219;44500;432;23140;5640;7076;8219;44507
2006;23200;ustredi;1;Ústøedí;Praha 1;211;23948;5811;6958;8081;45009;211;23948;5816;6959;8081;45015
2005;23200;ustredi;1;Ústøedí;Praha 1;182;25614;5965;6967;7995;46723;182;25614;5969;6967;7995;46727
2004;23200;ustredi;1;Ústøedí;Praha 1;142;27441;6031;7051;8092;48757;142;27441;6031;7051;8092;48757
2003;23200;ustredi;1;Ústøedí;Praha 1;134;29240;6037;6944;8230;50585;134;29240;6038;6944;8230;50586
2019;24100;kraj;110;kraj Praha;Praha 1;124;4562;707;925;1554;7872;124;4563;708;933;1569;7897
2018;24100;kraj;110;kraj Praha;Praha 1;107;4244;653;896;1489;7389;107;4245;653;902;1502;7409
2017;24100;kraj;110;kraj Praha;Praha 1;112;4033;663;819;1421;7048;112;4034;663;819;1432;7060
2016;24100;kraj;110;kraj Praha;Praha 1;114;3813;651;779;1308;6665;114;3813;651;780;1318;6676
2015;24100;kraj;110;kraj Praha;Praha 1;117;3484;610;768;1208;6187;117;3484;610;773;1222;6206
2014;24100;kraj;110;kraj Praha;Praha 1;119;3174;527;771;1138;5729;119;3174;527;775;1145;5740
2013;24100;kraj;110;kraj Praha;Praha 1;99;3031;472;799;1102;5503;99;3032;472;808;1113;5524
2012;24100;kraj;110;kraj Praha;Praha 1;79;2845;454;850;1030;5258;79;2846;454;860;1041;5280
2011;24100;kraj;110;kraj Praha;Praha 1;56;2664;523;837;987;5067;56;2666;523;850;997;5092
2010;24100;kraj;110;kraj Praha;Praha 1;66;2679;566;859;905;5075;66;2680;566;875;916;5103
2009;24100;kraj;110;kraj Praha;Praha 1;54;2624;565;916;895;5054;54;2624;565;916;895;5054
2008;24100;kraj;110;kraj Praha;Praha 1;41;2642;600;915;896;5094;41;2642;600;915;896;5094
2007;24100;kraj;110;kraj Praha;Praha 1;45;2576;655;915;883;5074;45;2576;655;915;883;5074
2006;24100;kraj;110;kraj Praha;Praha 1;28;2657;714;851;858;5108;28;2657;714;851;858;5108
2005;24100;kraj;110;kraj Praha;Praha 1;30;2819;729;829;844;5251;30;2819;729;829;844;5251
