Year;ID_Unit;ID_UnitType;RegistrationNumber;UnitName;Location;RegularMembersTo6;RegularMembersTo15;RegularMembersTo18;RegularMembersTo26;RegularMembersFrom26;RegularMembers;MembersTo6;MembersTo15;MembersTo18;MembersTo26;MembersFrom26;Members
2019;24119;oddil;112.02.002-1;Praská Dvojka;Praha 2;0;23;8;13;1;45;0;23;8;13;1;45
2019;24121;oddil;112.02.002-3;Sluníèka;Praha 2;0;24;4;6;3;37;0;24;4;6;3;37
2019;24123;oddil;112.02.002-5;Tygøíci;Praha 5;0;12;2;0;2;16;0;12;2;0;3;17
2019;24125;oddil;112.02.002-7;Wakan;Praha 2;0;16;2;2;0;20;0;16;2;3;0;21
2019;28569;oddil;112.02.003-2;Vıbìr z bobulí;Praha;0;0;0;0;7;7;0;0;0;0;8;8
2019;24127;oddil;112.02.046;46. klub oldskautù;Praha 2;0;0;0;0;12;12;0;0;0;0;12;12
2019;24129;oddil;112.02.307;Skrypta;Praha;0;0;0;2;24;26;0;0;0;2;25;27
2019;24133;oddil;112.31.005-1;Pìtka;Praha;0;21;9;5;3;38;0;21;9;5;3;38
2019;24134;oddil;112.31.005-2;Jeleni;Praha;0;20;0;7;3;30;0;20;0;7;3;30
2019;24136;oddil;112.31.007-1;Sedmièka;Praha 2;0;20;6;6;2;34;0;20;6;6;2;34
2019;24137;oddil;112.31.007-2;Lasièky;Praha;0;20;1;4;0;25;0;20;1;4;0;25
2019;27356;oddil;112.31.031;Oldskauti;Praha 2;0;0;0;0;7;7;0;0;0;0;7;7
2019;24139;oddil;112.31.035-1;35. smeèka vlèat;Hloubìtín;0;24;1;1;3;29;0;24;1;1;3;29
2019;24140;oddil;112.31.035-2;Práèata;Praha;0;14;4;3;3;24;0;14;4;3;3;24
2019;24141;oddil;112.31.035-3;Havrani;Praha 9;0;0;0;0;5;5;0;0;0;0;5;5
2019;29037;oddil;112.31.145;145. klub oldskautù;Praha;0;0;0;0;5;5;0;0;0;0;5;5
2019;24155;oddil;112.47.038;KD Jeèná;Praha 2;0;0;0;0;10;10;0;0;0;0;10;10
2019;24151;oddil;112.47.049;Lumturo;Praha;0;23;5;6;0;34;0;23;5;6;0;34
2019;24152;oddil;112.47.101;KD Maják;Praha;0;0;0;0;9;9;0;0;0;0;9;9
2019;29038;oddil;112.47.377;Stráci Majáku;Praha ;0;0;0;0;24;24;0;0;0;0;24;24
2019;24153;oddil;112.47.378;Lumturo;Praha;0;30;8;10;0;48;0;30;8;10;0;48
2019;24156;oddil;112.47.379;Ignis;Praha 5;0;38;7;5;5;55;0;38;7;5;5;55
2019;24162;oddil;112.53.048;48. klub oldskautù Jestøábi Praha;Praha 2;0;0;0;1;13;14;0;0;0;1;13;14
2019;24159;oddil;112.53.100;100. klub oldskautù Praha;Praha 9;0;0;0;3;29;32;0;0;0;3;29;32
2019;24160;oddil;112.53.106-1;106. smeèka vlèat Ginkgo Praha;Praha 9;0;21;0;0;2;23;0;21;0;0;2;23
2019;27836;oddil;112.53.106-2;Dívèí oddíl Poštolky;Praha 9;0;35;3;4;3;45;0;35;3;5;3;46
2019;24161;oddil;112.53.106-3;106. oddíl skautù Ginkgo Praha;Praha 9;0;17;4;4;1;26;0;17;4;4;1;26
