psc,nazev,nazev_posta,nazev_okres,okres_id,kraj_id
'36235','Abertamy','Abertamy','Karlovy Vary',1,1
'54232','Adamov','Úpice','Trutnov',39,1
'67904','Adamov','Adamov 1','Blansko',4,1
'28601','Adamov','Čáslav','Kutná Hora',2,1
'37371','Adamov','Rudolfov','České Budějovice',3,1
'79001','Adolfovice','Jeseník 1','Jeseník',50,1
'25765','Alberovice','Čechtice','Benešov',54,1
'37833','Albeř','Nová Bystřice','Jindřichův Hradec',33,1
'34201','Albrechtice','Sušice 1','Klatovy',46,1
'38901','Albrechtice','Vodňany','Strakonice',40,1
'28401','Albrechtice','Kutná Hora 1','Kutná Hora',2,1
'46345','Albrechtice','Pěnčín u Liberce','Liberec',62,1
'59257','Albrechtice','Rozsochy','Žďár nad Sázavou',30,1
'56301','Albrechtice','Lanškroun','Ústí nad Orlicí',6,1
'73543','Albrechtice','Albrechtice u Českého Těšína','Karviná',7,1
'51722','Albrechtice nad Orlicí','Albrechtice nad Orlicí','Rychnov nad Kněžnou',8,1
'39816','Albrechtice nad Vltavou','Albrechtice nad Vltavou','Písek',9,1
'46331','Albrechtice u Frýdlantu','Chrastava','Liberec',62,1
'79351','Albrechtice u Rýmařova','Břidličná','Bruntál',13,1
'46843','Albrechtice v Jizerských horách','Albrechtice v Jizerských horách','Jablonec nad Nisou',10,1
'74255','Albrechtičky','Albrechtičky','Nový Jičín',11,1
'38301','Albrechtovice','Prachatice','Prachatice',19,1
'35002','Aleje-Zátiší','Cheb 2','Cheb',18,1
'39133','Alenina Lhota','Jistebnice','Tábor',31,1
'66491','Alexovice','Ivančice','Brno-venkov',25,1
'79804','Alojzov','Určice','Prostějov',12,1
'46821','Alšovice','Bratříkov','Jablonec nad Nisou',10,1
'34004','Alžbětín','Železná Ruda','Klatovy',46,1
'79397','Amalín','Slezské Rudoltice','Bruntál',13,1
'25901','Amerika','Votice','Benešov',54,1
'46342','Anděl Strážce','Hodkovice nad Mohelkou','Jablonec nad Nisou',10,1
'33901','Andělice','Klatovy 1','Klatovy',46,1
'46373','Andělka','Habartice u Frýdlantu','Liberec',62,1
'46331','Andělská Hora','Chrastava','Liberec',62,1
'36471','Andělská Hora','Bochov','Karlovy Vary',1,1
'79331','Andělská Hora','Světlá Hora','Bruntál',13,1
'56301','Anenská Studánka','Lanškroun','Ústí nad Orlicí',6,1
'35709','Anenská Ves','Habartov','Sokolov',72,1
'34201','Annín','Sušice 1','Klatovy',46,1
'75101','Annín-Tovačov II x)','Tovačov','Přerov',52,1
'37821','Annovice','Kardašova Řečice','Jindřichův Hradec',33,1
'46844','Antonínov','Josefův Důl u Jablonce nad Nisou','Jablonec nad Nisou',10,1
'35002','Antonínova Výšina','Cheb 2','Cheb',18,1
'58601','Antonínův Důl','Jihlava 1','Jihlava',16,1
'39470','Antonka','Kamenice nad Lipou','Pelhřimov',15,1
'71100','Antošovice','Ostrava 11','Ostrava-město',74,1
'69633','Archlebov','Archlebov','Hodonín',14,1
'39501','Arneštovice','Pacov','Pelhřimov',15,1
'36251','Arnoldov','Jáchymov','Karlovy Vary',1,1
'58827','Arnolec','Jamné u Jihlavy','Jihlava',16,1
'79351','Arnoltice','Břidličná','Olomouc',21,1
'40714','Arnoltice','Arnoltice u Děčína','Děčín',17,1
'46401','Arnoltice','Frýdlant v Čechách','Liberec',62,1
'35601','Arnoltov','Sokolov 1','Sokolov',72,1
'38501','Arnoštka','Vimperk','Prachatice',19,1
'50782','Arnoštov','Pecka','Jičín',27,1
'38301','Arnoštov','Prachatice','Prachatice',19,1
'25789','Arnoštovice','Heřmaničky','Benešov',54,1
'47301','Arnultovice','Nový Bor','Česká Lípa',61,1
'54372','Arnultovice','Rudník u Vrchlabí','Trutnov',39,1
'79383','Arnultovice','Jindřichov u Krnova','Bruntál',13,1
'40002','Arnultovice','Ústí nad Labem 2','Ústí nad Labem',75,1
'37833','Artolec','Nová Bystřice','Jindřichův Hradec',33,1
