reg_c_strediska,nazev_strediska,nazev_oddilu,reg_c_manualne
21611,PPLK. Vally,Avalon,116.11
92,středisko Šípů Praha,NA,11A.92
312.01,středisko Orion Kladno,NA,213.01
33,Bílý los,Ztracená hvězda,116.33
88,Radost,101. dívčí oddíl Stojednička,118.88
21A08,"Junák - český skaut, středisko Uragan Zbraslav ",NA,21A.08
27.,Středisko Oheň Horní Počernice,Ježečci,119.27
2,Dvojka Teplice,Pavučina,426.02
2,Dvojka Praha,NA,112.02
323,5.květen,36. Sirius,323.03
10,Mafeking,Bílé Kytky,622.10
426.00,"Junák, český skaut, středisko Dvojka Teplice, z.s.",Roverský kmen Pavučina,426.02
7,7. středisko Blaník,Hanyetu,114.07
427.02.,Šíp Neštěmice,NA,427.02
52604,středisko Kukleny Hradec Králové,NA,526.04
27.,Oheň,NA,119.27
215.01.,středisko Kutná Hora,5. oddíl Makovice,215.01
-,"Junák - český skaut, středisko Ignis Brno, z. s.",26. dívčí oddíl Brno,622.09
1,Kalich,Modříni,317.01
1,Bílý Štít,Naděje,615.02
71219,"Junák - český skaut, 19. středisko Ladislava Ruska",16. oddíl Andromeda Velký Týnec,712.19
19,19. Středisko Ladislava Ruska,16. Oddíl Andromeda Velký Týnec,712.19
?,Lázně Bohdaneč,NA,532.03
24,Vrbovec,Šídla,622.24
.,Středisko Josefa Šivela Otrokovice,NA,724.08
19.,19. Středisko Ladislava Ruska,16. oddíl Andromeda,712.19
27,Oheň,Polena,119.27
77,77. Středisko Rod Sovy,Watuta 302,11A.77
24,Sever,NA,118.24
1,český lev Chomutov,NA,422.01
1,Středisko Jožky Knappa,Ookenanis,323.01
"21, 98","Vočko, Hiawatha",NA,116.06
18.,Kruh,NA,116.18
92.,středisko Šípů,"Camelot,kmen Špatný nápad",11A.92
11.A10,"Junák - český skaut, středisko STOVKA Praha, z.s.",148. oddíl Rys,11A.10
76,5. květen Radotín,NA,115.76
118. 88,"středisko 88 Radost Praha, z. s.",NA,118.88
9.,9. Středisko Dona Boska v Olomouci,Střelená kvítka,712.09
534.07.071,Středisko - Žamberk,NA,534.07
Nevím,Středisko Říp Roudnice nad Labem,NA,423.02
210.01,1. středisko Kolín,Surikaty,214.01
*,Ležáky Skuteč,Skrat,531.04
62 157 400,Středisko Řehoře Mendla,NA,622.01
62601,středisko Vyškov,1. oddíl vodních skautů Luleč - Severní hvězda,626.01
7,Blaník,Modrý Klíč,114.07
nevím :(,Přístav RETRA Brandýs nad Labem,NA,219.10
31313,Fidelis et Fortis Kamenice nad Lipou,NA,313.13
615,Bílý štít,NA,615.02
77.,Rod Sovy,Origami,11A.77
21B,Clan Hiawatha Příbram,NA,21B.02
211,Vlašim,NA,211.02
7,Blaník,NA,114.07
19,Ladislava Ruska,Andromeda,712.19
21608,Přístav Neratovice,NA,216.08
2,Dvojka Brno,nezmaři,622.02
11927,Oheň - Horní Počernice,NA,119.27
1,Jožky Knappa,Ookenanis,323.01
56,Hiawatha,NA,115.56
71303,Pelikáni Prostějov,Synové slunce,713.03
Nevím,Rarášek Rokycany,NA,326.01
4,VAVÉHA,Hraničáři,311.04
58,Mawadani,NA,115.58
9.,Středisko Jana Boska,Střelená kvítka,712.09
4,Vavéha,Pěnkavy,311.04
28,28. Brána,14-Regulus,622.28
602.10,10. středisko Mafeking,94.bo Mirka Klepáče,622.10
15,Kompas,NA,622.15
31313,Fidelis et Fortis,NA,313.13
4,Vavéha,NA,311.04
22,Šipka,Záře,116.22
921.07,Světla Blansko,Svornost,621.07
neviem,středisko Vavéha,NA,311.04
62318,4rrrrrrrrr,NA,623.18
7,Blaník,Říčany,114.07
19,středisko Ladislava Ruska,Velká Bystřice a Hlubočky lišky,712.19
Nepamatuji si,Orion Karlovy Vary,Mintaka,412.11
4,pod Kletí,medvědi,312.06
7,Blaník,Mayové,114.07
50612,Polaris,NA,532.12
13,Třináctka Opařany,Nadějkov - Sepekov,317.13
62506,"Junák-český skaut, středisko Přátelství Hodonín",NA,625.06
3,Olomouc,Junačky Vatry,712.03
81207,Středisko Svatý Jiří,Středisko Svatý Jiří Brušperk,812.07
Nevím,Středisko Karla Šimka,3.oddíl Poutníci,526.01
81610,Junák český skaut-středisko Modrý šíp,Modrý Šíp,816.10
120,Stopaři,NA,118.52
24,Sever,NA,118.24
214.07.001,"Junák, český skaut, středisko Ing. Ládi Nováka Český Brod, z.s.",NA,214.07
9,Ignis Brno,NA,622.09
514,Štika Turnov,NA,514.02
omlouvám se ale to netuším,ichtys,pardi,323.04
5,Střela,Sluneční údolí,323.05
58.,Mawadani,NA,115.58
5,Střela,Sluneční údolí,323.05
99,Arcus,Rysové,112.99
28401,středisko Kutná Hora,Vlčice/RS Kutná Hora,215.01
Xxx,Bílý los,Jeleni,116.33
523.01.031,stredisko nachod,NA,523.01
11A.35.,35. středisko J.Rady,NA,11A.35
27,27. středisko Starý Lískovec,Amazonky,622.27
77,rod sovy,Origami,11A.77
73,Javor,NA,116.73
5,Střela,Sluneční údolí,323.05
28,Brána,NA,622.28
73,Javor-Praha,NA,116.73
026,26. Středisko Žabovřesky Brno,NA,622.26
611-05,Goliath Přibyslav,NA,611.05
11407,Blanik,NA,114.07
28.,Brána,NA,622.28
7,Blaník,Statečná srdce,114.07
11A. 77,Středisko 77 ROD SOVY,NA,11A.77
623-15,Květnice Tišnov,Robinsoni Doubravník,623.15
92,Šípy,NA,11A.92
